,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag_imag,umag_gmag_rmag_Hamag,umag_gmag_imag_Hamag,umag_rmag_imag_Hamag,gmag_rmag_imag_Hamag,outlier_columns,RAJ2000,DEJ2000,em
81,14.75,12.28,12.42,11.85,11.89,11.67,11.67,11.62,1.4345000000000003,-0.9282352941176435,2.368604651162789,2.1365116279069722,-0.2320930232558166,umag_gmag_rmag_imag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag,87.0868689,21.5004469,0.0
82,14.75,12.28,12.42,11.85,11.89,11.67,11.67,11.62,1.4345000000000003,-0.9282352941176435,2.368604651162789,2.1365116279069722,-0.2320930232558166,umag_gmag_rmag_imag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag,87.086859,21.500454,0.0
87,13.68,12.03,12.03,11.62,11.64,11.34,11.35,11.31,0.9051666666666669,-0.8505882352941105,1.5993023255813923,1.5532558139534822,-0.04604651162791006,umag_gmag_imag_Hamag,348.674884,56.380257,0.0
89,11.48,10.87,12.73,11.21,11.16,9.71,9.61,9.52,-2.1513333333333304,-9.456470588235298,0.7367441860465146,-1.0081395348837177,-1.7448837209302321,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,88.2362508,23.1526269,1.0
90,11.48,10.87,12.73,11.21,11.16,9.71,9.61,9.52,-2.1513333333333304,-9.456470588235298,0.7367441860465146,-1.0081395348837177,-1.7448837209302321,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,88.236244,23.152603,1.0
103,13.8,12.09,12.85,11.6,11.85,10.47,10.37,10.29,-0.5608333333333317,-4.701764705882354,1.076279069767443,-0.25930232558139354,-1.3355813953488367,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,59.126724,51.087715,0.0
108,14.47,14.43,12.27,11.63,11.79,10.91,10.76,10.63,-1.1226666666666631,-3.037647058823532,-0.36558139534883194,1.4260465116279164,1.7916279069767482,gmag_rmag_imag_Hamag,88.431,22.649184,1.0
111,14.31,12.0,12.76,11.31,11.65,9.94,9.76,9.66,-0.32416666666666405,-4.80705882352941,1.4481395348837223,-0.09465116279069519,-1.5427906976744177,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,59.23572,51.238834,0.0
112,14.31,12.0,12.76,11.31,11.65,9.94,9.76,9.66,-0.32416666666666405,-4.80705882352941,1.4481395348837223,-0.09465116279069519,-1.5427906976744177,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,59.235759,51.238823,0.0
121,15.78,15.97,14.02,13.66,13.76,13.07,12.94,12.85,-0.8440000000000001,-1.8570588235294123,-0.4434883720930235,1.2762790697674435,1.7197674418604671,gmag_rmag_imag_Hamag,101.665527,0.546029,1.0
122,14.46,15.81,12.52,11.57,11.53,10.17,9.72,9.31,-3.075833333333331,-7.697647058823533,-1.248604651162788,2.133488372093029,3.382093023255817,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,346.162464,59.036368,1.0
142,13.98,12.28,12.17,11.88,11.88,11.74,11.76,11.73,1.1731666666666696,-0.15941176470587637,1.700000000000001,1.8100000000000005,0.10999999999999943,umag_gmag_imag_Hamag,105.7442908,4.5595814,0.0
144,11.17,10.63,12.74,11.11,11.32,9.57,9.56,9.49,-2.421166666666668,-8.564705882352944,0.007674418604648459,-2.585813953488376,-2.5934883720930246,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,59.017563,51.008247,0.0
154,14.09,14.69,12.65,11.94,12.06,11.38,11.25,11.18,-1.8898333333333341,-4.382941176470588,-0.9041860465116299,0.8595348837209252,1.7637209302325552,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,93.885612,23.662258,0.0
159,13.17,11.53,12.71,12.45,12.55,12.18,12.1,12.07,1.1676666666666646,0.6141176470588228,1.3865116279069738,-0.023720930232565662,-1.4102325581395396,gmag_rmag_imag_Hamag,100.9836472,0.1551842,0.0
160,14.07,14.5,12.48,11.84,12.0,11.29,11.17,11.07,-1.5926666666666671,-3.5076470588235327,-0.8355813953488371,0.8160465116279066,1.6516279069767437,gmag_rmag_imag_Hamag,90.052214,23.491268,0.0
163,14.13,11.8,13.06,12.72,12.88,12.12,11.99,11.91,1.712333333333334,1.175882352941178,1.9244186046511627,0.29604651162790707,-1.6283720930232557,umag_gmag_rmag_imag | umag_gmag_imag_Hamag | gmag_rmag_imag_Hamag,346.462287,57.556201,0.0
164,14.05,14.33,12.66,12.34,12.41,11.95,11.88,11.82,-0.8613333333333331,-1.8829411764705881,-0.45744186046511626,1.0513953488372088,1.508837209302325,gmag_rmag_imag_Hamag,91.208839,24.173047,0.0
165,14.05,14.33,12.66,12.34,12.41,11.95,11.88,11.82,-0.8613333333333331,-1.8829411764705881,-0.45744186046511626,1.0513953488372088,1.508837209302325,gmag_rmag_imag_Hamag,91.2088553,24.1730759,0.0
176,13.64,12.76,12.91,11.78,11.97,10.89,10.8,10.65,-1.1728333333333336,-5.1470588235294095,0.3983720930232536,-0.18906976744186565,-0.5874418604651194,umag_gmag_rmag_Hamag,59.558968,52.173405,1.0
186,13.38,14.36,12.33,11.75,11.78,11.54,11.56,11.49,-2.033666666666665,-4.506470588235299,-1.0560465116279039,0.9048837209302365,1.9609302325581404,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,100.970449,1.301154,0.0
195,14.38,15.89,12.68,11.91,11.88,10.9,10.58,10.26,-2.908833333333332,-6.639411764705877,-1.4339534883720946,1.8451162790697653,3.2790697674418596,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,59.058908,52.434199,1.0
847,20.787,19.893,17.862,16.631,18.291,14.262,13.663,13.32,-1.3423166666666644,3.6446470588235416,-3.313906976744186,-5.10476744186046,-1.7908604651162752,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,156.055561,-57.727099,0.0
854,20.245,19.34,17.04,15.662,16.199,12.828,11.958,11.434,-1.5983666666666618,-4.487294117647044,-0.4562325581395352,0.6074186046511625,1.0636511627906973,umag_gmag_rmag_Hamag,156.003679,-57.781379,1.0
874,18.236,17.747,16.084,15.183,15.245,13.214,12.665,12.127,-1.1478166666666652,-4.8904705882352975,0.33183720930232796,1.8520930232558181,1.52025581395349,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,156.079098,-57.7778,1.0
957,17.749,17.967,17.017,16.431,17.211,14.989,14.671,14.389,-1.2825666666666637,1.025882352941171,-2.1952093023255745,-3.0410232558139403,-0.8458139534883662,umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,156.354491,-57.984584,0.0
970,19.8,18.785,16.548,15.233,16.666,12.785,12.074,11.721,-1.3739166666666613,1.771588235294132,-2.6174883720930207,-3.67972093023255,-1.0622325581395309,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,155.40101,-58.846349,0.0
1366,20.291,19.941,18.39,17.56,17.613,15.631,15.205,15.055,-1.1578333333333348,-4.631941176470595,0.21565116279069707,1.6446279069767402,1.428976744186043,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,158.220034,-58.576624,1.0
1376,15.872,15.456,13.744,12.79,12.998,10.959,10.435,10.06,-1.3171000000000004,-4.367176470588239,-0.11125581395348816,1.121860465116279,1.233116279069767,umag_gmag_rmag_Hamag,158.14049,-58.675164,1.0
1386,13.956,14.022,12.83,12.19,12.16,10.812,10.402,10.038,-1.2286666666666681,-4.361882352941178,0.010046511627904597,1.2711162790697637,1.2610697674418592,umag_gmag_rmag_Hamag,158.24211,-58.656141,1.0
1607,19.804,19.487,18.003,17.187,17.043,15.477,15.003,14.755,-1.1653999999999975,-5.838294117647066,0.6820232558139583,2.497558139534891,1.8155348837209326,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,159.178528,-58.658566,1.0
1618,19.709,19.393,17.92,17.066,16.967,15.229,14.661,14.34,-1.235433333333339,-5.794411764705904,0.5669534883720924,2.2678837209302314,1.7009302325581388,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,159.327987,-58.557411,1.0
1619,20.324,19.996,18.106,17.047,16.69,15.032,14.222,13.954,-1.5958499999999984,-8.751058823529414,1.2329534883720938,3.9448837209302283,2.7119302325581347,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,159.34289,-58.544154,1.0
1684,20.097,19.655,17.912,16.923,17.098,14.937,14.352,13.959,-1.3546833333333341,-4.777176470588238,-0.0016046511627921256,1.3384883720930225,1.3400930232558146,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,159.486051,-58.67767,1.0
1706,15.745,15.695,14.396,13.659,13.637,12.116,11.636,11.187,-1.2888833333333343,-4.81652941176471,0.10576744186046463,1.4554186046511624,1.3496511627906977,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,159.661505,-58.615755,1.0
1718,17.747,17.446,15.955,15.127,15.227,13.781,13.349,13.02,-1.2032,-4.366764705882354,0.04751162790697616,1.3082790697674436,1.2607674418604675,umag_gmag_rmag_Hamag,157.641586,-60.44016,1.0
1721,13.961,14.465,13.803,13.402,13.179,12.489,12.117,11.872,-1.2324833333333356,-4.5049411764705924,0.061279069767439465,1.2366976744185985,1.1754186046511592,umag_gmag_rmag_Hamag,156.990218,-60.972723,1.0
1780,19.711,19.505,18.073,17.307,17.37,15.82,15.15,14.697,-1.18556666666667,-4.301470588235293,0.04630232558138889,1.3332558139534751,1.2869534883720861,gmag_rmag_imag_Hamag,160.127856,-58.554515,1.0
1782,20.114,19.909,18.088,17.127,17.2,14.816,14.208,13.748,-1.540816666666668,-5.48864705882354,0.019953488372093958,1.6728837209302307,1.6529302325581368,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,159.9793,-58.709342,1.0
1792,20.172,19.549,17.833,17.032,17.012,15.41,14.917,14.624,-0.8321499999999955,-4.6410588235293995,0.6736976744186046,2.4357441860465117,1.7620465116279072,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,160.209259,-58.533109,1.0
1796,19.967,19.525,17.937,17.128,17.141,15.457,14.821,14.768,-1.0276833333333346,-4.661764705882373,0.40904651162791195,1.967116279069774,1.5580697674418622,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,160.033846,-58.739538,1.0
1808,18.61,18.467,17.141,16.503,16.516,15.274,14.846,14.47,-1.016033333333329,-3.864352941176471,0.11004651162791243,1.4061162790697777,1.2960697674418653,gmag_rmag_imag_Hamag,160.067505,-58.749223,1.0
1812,20.208,19.795,18.155,17.292,17.334,15.53,15.12,14.856,-1.1547833333333355,-4.851058823529426,0.30653488372093196,1.8498372093023325,1.5433023255814005,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,160.194437,-58.682745,1.0
1855,19.993,19.613,18.153,17.416,17.377,16.036,15.576,15.262,-0.9588833333333309,-4.595529411764708,0.4788604651162818,2.0286511627907045,1.549790697674423,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,160.220829,-58.831179,1.0
1871,19.961,19.586,18.052,17.339,17.13,15.92,15.403,15.089,-0.9202833333333347,-5.536647058823535,0.9047906976744174,2.9199767441860427,2.0151860465116256,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,160.215529,-58.877453,1.0
1872,19.564,19.327,17.948,17.26,16.894,15.956,15.465,15.145,-1.012866666666666,-6.521000000000017,1.1647674418604712,3.386418604651177,2.221651162790706,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,160.260553,-58.836049,1.0
1984,20.047,19.805,18.284,17.349,17.481,15.504,14.845,14.626,-1.4565833333333298,-4.906647058823513,-0.09260465116279332,1.1244883720930183,1.2170930232558117,umag_gmag_rmag_Hamag,159.867216,-59.551115,1.0
1986,20.357,19.733,17.911,16.977,17.132,15.113,14.455,14.22,-1.0727666666666693,-4.3707647058823555,0.23109302325581005,1.6962325581395277,1.4651395348837177,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,159.950299,-59.487082,1.0
1991,20.351,19.992,18.289,17.41,17.546,15.585,15.018,14.595,-1.237850000000004,-4.404941176470605,0.014255813953488683,1.4041395348837227,1.389883720930234,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,159.936092,-59.514211,1.0
2000,20.115,19.808,18.015,17.084,17.134,15.208,14.576,14.357,-1.3843166666666693,-5.341764705882357,0.18025581395348525,1.8581395348837155,1.6778837209302302,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,160.583949,-58.923858,1.0
2007,19.929,19.49,17.933,17.067,16.766,15.421,14.77,14.387,-1.1342333333333323,-7.043529411764719,1.2020000000000046,3.452000000000007,2.2500000000000027,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,159.995091,-59.498331,1.0
2012,20.105,19.832,18.294,17.495,17.556,15.951,15.524,15.142,-1.1785166666666658,-4.458882352941176,0.11837209302325571,1.5159302325581399,1.3975581395348842,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,160.528256,-59.009884,1.0
2023,19.56,19.308,17.557,16.679,16.191,14.859,14.177,13.884,-1.3430333333333342,-8.506470588235295,1.4890232558139507,4.363558139534881,2.87453488372093,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,160.09682,-59.464112,1.0
2053,17.492,17.649,16.623,16.079,15.902,15.067,14.736,14.774,-1.1452666666666673,-4.77988235294119,0.29167441860465443,1.725186046511634,1.4335116279069795,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,160.552448,-59.140497,1.0
2059,18.482,18.426,17.167,16.452,16.457,15.189,14.638,14.302,-1.2429166666666651,-4.496352941176476,0.0433255813953523,1.2908139534883747,1.2474883720930223,umag_gmag_rmag_Hamag,158.865077,-60.667291,1.0
2098,19.94,19.307,17.32,16.099,16.481,13.627,12.888,12.486,-1.585149999999997,-4.746470588235285,-0.3353255813953494,0.772186046511623,1.1075116279069723,umag_gmag_rmag_Hamag,160.234954,-59.58504,1.0
2101,19.851,19.643,18.209,17.384,17.411,16.224,15.6,15.395,-1.2907499999999998,-4.9085882352941095,0.13955813953487956,1.5113953488372038,1.3718372093023243,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,157.894712,-61.607862,1.0
2168,17.787,17.958,16.896,16.19,16.118,14.788,14.388,13.984,-1.453566666666665,-5.159352941176486,0.011511627906984206,1.239279069767453,1.227767441860469,umag_gmag_rmag_Hamag,157.912211,-61.777599,1.0
2174,20.024,19.601,17.932,17.055,17.144,15.333,14.744,14.402,-1.1702166666666625,-4.629470588235296,0.19739534883721468,1.6614883720930325,1.4640930232558178,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,160.107666,-59.940586,1.0
2188,19.932,19.919,18.268,17.182,17.373,14.994,14.103,13.712,-1.959900000000005,-5.725529411764707,-0.4711627906976824,0.7400930232558004,1.2112558139534826,umag_gmag_rmag_Hamag,160.473833,-59.650637,1.0
2191,18.68,18.626,17.367,16.647,16.575,15.015,14.398,14.064,-1.2540000000000056,-5.024117647058837,0.23651162790697305,1.6612790697674364,1.4247674418604634,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,160.421719,-59.704282,1.0
2194,20.106,19.805,18.004,17.076,17.24,15.077,14.343,13.987,-1.3848666666666658,-4.597588235294136,-0.11472093023255076,1.3086976744186156,1.423418604651166,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,160.083815,-60.029167,1.0
2195,19.821,19.483,18.005,17.239,17.055,15.826,15.207,14.808,-1.053566666666662,-5.753176470588231,0.8044186046511662,2.706046511627914,1.9016279069767479,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,160.071576,-60.043046,1.0
2196,19.669,19.495,18.035,17.311,16.979,15.616,15.068,14.701,-1.1412666666666673,-6.596823529411774,1.0155813953488382,3.239953488372096,2.2243720930232582,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,160.008902,-60.110063,1.0
2199,19.802,19.771,18.345,17.546,17.299,15.704,15.342,14.938,-1.4205166666666666,-6.675705882352941,0.6571162790697657,2.651790697674418,1.9946744186046526,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,160.460651,-59.704671,1.0
2201,20.246,19.886,18.372,17.605,17.706,15.92,15.274,14.938,-1.0333833333333327,-3.9102352941176513,0.10397674418604835,1.3854418604651197,1.2814651162790713,gmag_rmag_imag_Hamag,160.470568,-59.696536,1.0
2204,20.081,19.79,18.443,17.619,17.721,16.06,15.637,15.161,-1.2059333333333355,-4.338294117647068,0.03244186046511599,1.1446046511627876,1.1121627906976717,umag_gmag_rmag_Hamag,160.446649,-59.723311,1.0
2253,19.821,19.484,17.238,15.674,16.397,12.25,11.035,10.377,-2.504266666666666,-5.055294117647068,-1.495720930232555,-0.9143023255813865,0.5814186046511682,umag_gmag_rmag_Hamag,160.9027,-59.510516,1.0
2313,19.624,19.769,18.285,17.373,18.737,15.528,14.551,14.176,-1.8017999999999974,2.7531176470588132,-3.602581395348828,-5.258953488372077,-1.6563720930232493,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,161.071843,-59.543117,0.0
2318,19.649,19.391,17.559,16.48,16.246,13.825,13.05,12.563,-1.7021833333333314,-8.160647058823544,0.8511627906976813,3.2219069767441937,2.3707441860465126,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,161.07336,-59.55578,1.0
2328,19.562,19.087,17.439,16.469,16.564,14.542,13.898,13.533,-1.2871666666666628,-5.135294117647059,0.23418604651163233,1.6634651162790766,1.4292790697674442,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,160.937835,-59.710504,1.0
2331,19.317,18.808,17.144,16.051,16.018,14.04,13.403,13.112,-1.4766166666666658,-6.7106470588235165,0.5926511627906921,2.3326279069767346,1.7399767441860425,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,160.951741,-59.708517,1.0
2333,20.171,19.837,18.263,17.339,17.408,15.629,15.037,14.723,-1.3446000000000056,-5.148058823529417,0.15909302325580704,1.5742325581395202,1.415139534883713,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,161.342209,-59.335458,1.0
2337,20.243,19.905,18.403,17.456,17.482,15.516,14.791,14.492,-1.382383333333334,-5.567235294117648,0.2720930232558119,1.714232558139536,1.4421395348837238,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,160.985387,-59.693408,1.0
2342,20.349,19.837,18.105,17.063,17.332,15.041,14.326,14.07,-1.3809666666666687,-4.444294117647058,-0.16988372093023663,0.94279069767441,1.1126744186046464,umag_gmag_rmag_Hamag,160.961536,-59.723215,1.0
2348,18.696,18.525,17.228,16.543,16.485,15.174,14.746,14.43,-1.0734166666666676,-4.5929411764706005,0.3180232558139559,1.7485581395348828,1.4305348837209269,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,161.119149,-59.584002,1.0
2364,19.721,19.258,17.709,16.843,17.973,15.465,14.887,14.567,-1.1102333333333314,2.1557058823529385,-2.401418604651158,-3.454046511627898,-1.052627906976741,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,161.163586,-59.580334,0.0
2369,19.877,19.634,17.963,17.005,17.244,15.138,14.385,14.193,-1.4973666666666712,-4.3670588235294225,-0.36283720930232866,0.7579069767441811,1.1207441860465095,umag_gmag_rmag_Hamag,160.919175,-59.828181,1.0
2382,20.164,19.559,17.9,16.909,16.938,15.038,14.4,14.062,-1.1953166666666653,-5.5631176470588235,0.5314883720930239,2.1237209302325617,1.5922325581395376,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,161.558508,-59.242773,1.0
2385,19.278,19.247,17.681,16.701,16.805,14.53,13.904,13.582,-1.749333333333335,-5.585705882352952,-0.23262790697674324,1.0939302325581415,1.3265581395348847,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,160.936769,-59.858255,1.0
2386,18.978,18.972,17.675,16.95,16.601,15.206,14.628,14.357,-1.3110833333333354,-6.88023529411766,0.8906744186046515,2.9911860465116287,2.100511627906977,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,161.095872,-59.707936,1.0
2402,19.591,19.444,18.092,17.218,18.33,15.461,14.561,14.266,-1.440766666666662,1.6729999999999996,-2.671790697674411,-3.879976744186033,-1.2081860465116225,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,160.1032,-60.677085,0.0
2404,20.182,19.938,18.383,17.587,17.444,16.241,15.609,15.323,-1.2020666666666653,-5.776647058823532,0.6064883720930245,2.4907209302325604,1.884232558139536,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,161.836046,-59.053781,1.0
2414,19.611,19.617,18.195,17.434,17.468,15.518,14.766,14.433,-1.3884833333333317,-4.667352941176475,-0.09218604651162535,1.251534883720936,1.3437209302325612,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,160.939269,-59.954677,1.0
2421,16.238,16.689,15.953,15.528,15.245,14.666,14.496,14.546,-1.2230833333333317,-4.990529411764709,0.26637209302325815,1.6539302325581449,1.387558139534887,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,160.960825,-59.955967,1.0
2429,19.749,19.55,17.934,17.099,16.799,15.279,14.742,14.647,-1.3179166666666697,-7.078352941176485,0.9594651162790693,3.266162790697675,2.3066976744186056,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,161.066885,-59.86768,1.0
